feature,mean_abs_grad
amount,4.2622556e-05
upi_app_enc,3.5437122e-05
is_night,3.109643e-05
txn_day,2.881106e-05
receiver_txn_count_24h,1.7950777e-05
amount_vs_sender_avg,1.7718348e-05
receiver_amount_sum_24h,1.7531662e-05
velocity_24h,1.5801368e-05
amount_log,1.496347e-05
txn_hour,1.2364388e-05
sender_bank_enc,1.151872e-05
receiver_bank_enc,1.1397028e-05
is_round_amount,1.0023314e-05
unique_receivers_1h,9.722176e-06
velocity_1h,9.458488e-06
is_weekend,8.591343e-06
amount_entropy_1h,8.472057e-06
receiver_state_enc,7.994842e-06
sender_state_enc,7.925084e-06
cross_bank,6.0601747e-06
is_new_device,2.6191854e-06
cross_state,1.0595891e-06
merchant_cat_enc,9.881905e-07
