feature,mean_dist_contrib
sender_state_enc,4.638842270917883
receiver_state_enc,4.6288620189136305
receiver_bank_enc,3.6647984775072655
sender_bank_enc,3.654407302431223
merchant_cat_enc,1.9972182599248838
upi_app_enc,1.115456151227881
txn_hour,0.9412765741889068
txn_day,0.9305845024103689
velocity_24h,0.7539383989049296
velocity_1h,0.728544319350449
amount_vs_sender_avg,0.6206913925053262
amount,0.6032363946518287
amount_log,0.5857842379030376
is_weekend,0.3586023680516245
is_night,0.24311080237148958
cross_bank,0.028707382301847502
cross_state,0.02668131974544947
is_new_device,0.01523550733576612
is_round_amount,0.005359127786076808
