receiver_upi,receiver_txn_count_24h_mean,receiver_txn_count_24h_max,receiver_amount_sum_24h_mean,receiver_amount_sum_24h_max
merch10012@ybl,17.44,36,332953.0712,645574.7599999999
merch10013@ybl,15.6,32,166688.1992,262530.41000000003
merch10039@ybl,20.153846153846153,40,177165.745,410152.3
merch10047@axl,18.724137931034484,38,221031.5255172414,683829.3500000001
merch10047@ybl,20.133333333333333,41,53897.42733333333,215395.74
merch1005@axl,14.238095238095237,28,317606.99761904764,687206.08
merch10117@ybl,17.72,39,184531.5644,591160.6200000001
merch10127@oksbi,18.16,36,127389.7652,295193.43
merch10133@axl,16.166666666666668,30,50660.33416666667,123491.64
merch10136@oksbi,24.34285714285714,46,257731.82942857142,656694.04
merch10145@oksbi,18.75,34,286909.30999999994,567470.0199999999
merch10179@axl,21.466666666666665,45,159530.34266666666,409809.82000000007
merch10182@oksbi,22.766666666666666,43,122627.87933333335,343734.74000000005
merch1018@okicici,19.607142857142858,38,146478.33178571428,415504.96
merch1020@axl,18.482758620689655,37,296860.15724137926,588762.7199999999
merch10213@okhdfcbank,20.09375,39,211051.91468750002,576233.77
merch10217@paytm,19.75,37,501094.46041666664,820748.82
merch10218@axl,17.695652173913043,36,188966.34000000003,370485.0500000001
merch1022@ybl,19.37037037037037,37,71637.56481481482,240230.45000000004
merch10236@axl,17.2,32,294872.86699999997,538289.36
merch10241@paytm,15.714285714285714,36,155714.91571428571,481537.5099999999
merch10262@axl,16.695652173913043,36,185892.08739130435,455359.56
merch1026@paytm,21.59259259259259,40,407575.7822222222,522538.23999999993
merch10275@okicici,20.928571428571427,39,243440.39857142858,490985.23999999993
merch10278@okhdfcbank,13.761904761904763,28,295259.0738095238,538725.7200000001
merch10280@okicici,16.5,33,217897.98000000004,369316.04999999993
merch10290@paytm,12.133333333333333,23,94696.07266666666,169451.33
merch10297@okhdfcbank,18.0,35,228592.61500000002,465288.21
merch10304@paytm,17.12,33,136359.548,333471.39
merch10305@okhdfcbank,17.17391304347826,39,169029.13173913045,479322.14
merch10321@ybl,16.958333333333332,33,217958.50291666668,504686.91
merch10327@okicici,16.458333333333332,33,152417.76041666666,410695.23
merch10335@ybl,17.076923076923077,34,215032.99000000002,427447.3999999999
merch10343@okhdfcbank,14.875,27,152697.779375,275751.41
merch10360@okhdfcbank,17.88888888888889,33,251680.45296296297,437310.48999999993
merch10369@okhdfcbank,16.105263157894736,30,207381.49263157893,393231.2899999999
merch1037@ybl,15.818181818181818,31,111465.25545454543,171536.32999999996
merch10388@axl,17.04,34,154928.8704,321660.81000000006
merch10404@axl,19.16,37,284890.5664,622266.4199999999
merch10412@okicici,19.766666666666666,40,224377.20666666667,481757.19
merch10428@ybl,17.38095238095238,31,194966.8942857143,299410.97000000003
merch1042@okhdfcbank,16.136363636363637,31,90710.00681818182,158011.32
merch10432@okicici,12.32,27,110972.27200000001,224535.69
merch10442@paytm,15.08695652173913,32,454814.71913043474,954545.63
merch10445@okicici,21.96969696969697,45,252010.5878787879,542128.45
merch10449@ybl,18.933333333333334,38,268442.35500000004,603588.26
merch10457@paytm,17.387096774193548,37,221615.63677419355,305775.86
merch10458@okhdfcbank,13.4,25,79356.58466666666,177672.75
merch10461@ybl,20.526315789473685,36,200948.57263157895,511825.3799999999
merch10466@axl,15.73913043478261,35,259041.87913043477,471099.66
merch10475@okicici,7.25,16,98751.64583333333,146895.42000000004
merch10495@oksbi,12.35,25,376753.63399999996,435794.64
merch10496@ybl,15.862068965517242,34,277765.90379310347,854103.5200000001
merch1050@ybl,15.173913043478262,29,162757.20173913045,289989.3
merch10511@ybl,17.363636363636363,36,79705.86954545454,269219.08
merch1051@oksbi,11.764705882352942,25,32084.263529411764,75740.75
merch10522@paytm,20.696969696969695,41,381358.833030303,622787.2499999999
merch10524@okhdfcbank,17.5,35,92853.34535714285,244542.22
merch10529@okicici,14.619047619047619,29,94610.83714285714,201851.76
merch10554@paytm,20.1,38,91885.64233333334,243591.12
merch10566@okicici,17.44,37,373716.58560000005,735440.2300000001
merch10586@oksbi,17.16,36,143826.5108,271992.43999999994
merch10589@axl,22.64864864864865,44,330637.7716216216,879897.9200000002
merch1058@ybl,12.08695652173913,25,42650.78347826087,92324.9
merch10597@ybl,20.24,38,74707.67079999999,118170.86999999998
merch1059@paytm,22.91176470588235,43,185140.0861764706,474198.17
merch10605@ybl,16.458333333333332,31,330501.0341666667,505984.05
merch10616@paytm,15.95,30,128986.9895,253646.35
merch10622@axl,27.88095238095238,53,188685.12523809524,377115.88000000006
merch10623@okhdfcbank,26.09090909090909,47,107359.05121212121,244245.82000000004
merch10638@axl,18.64,37,360291.11240000004,815445.73
merch10643@okicici,15.25,30,303429.841,445828.06000000006
merch1064@paytm,14.217391304347826,29,269046.30739130435,458541.23999999993
merch10664@axl,19.23076923076923,37,83819.90153846153,156277.52000000002
merch10665@ybl,18.06451612903226,37,205503.6035483871,470191.62000000005
merch10675@ybl,15.851851851851851,33,203072.5051851852,521698.34
merch10678@oksbi,16.576923076923077,34,240688.0419230769,509974.53
merch10684@oksbi,11.1875,20,146091.15562499998,180563.44
merch1068@oksbi,22.583333333333332,39,231676.82458333333,266344.4799999999
merch10711@axl,20.9,44,233582.64933333333,477149.37
merch10734@ybl,17.27777777777778,32,321599.21555555554,399157.22
merch10745@paytm,13.571428571428571,30,252107.75714285715,498592.51000000007
merch10748@oksbi,17.045454545454547,33,203339.9609090909,348721.46
merch10752@oksbi,20.84,39,153349.3388,371515.04999999993
merch10754@ybl,16.555555555555557,33,166089.6455555556,360027.54000000004
merch10756@okicici,14.916666666666666,28,80561.65000000001,258459.83
merch10765@okhdfcbank,23.366666666666667,45,437132.601,696442.8600000001
merch10770@ybl,9.272727272727273,19,113794.99727272727,311941.17000000004
merch10780@axl,18.0,39,145839.84424242424,247068.88
merch10796@paytm,19.733333333333334,37,202417.20633333334,343310.26
merch1079@axl,25.470588235294116,46,536669.0579411765,724277.44
merch10808@paytm,10.588235294117647,21,38349.09411764706,186340.43
merch10808@ybl,22.25,44,427784.5358333334,640939.6500000001
