sender_upi,amount_mean,amount_std,txn_count
user10001@paytm,2965.356470588235,6602.626935490281,17
user10004@oksbi,29962.86411764706,60911.98394240036,17
user10018@ybl,6571.895882352941,11826.069389035743,17
user1002@okhdfcbank,12001.627142857144,18725.435810455347,14
user10032@axl,3257.5271428571427,7078.24092619001,14
user10045@oksbi,26759.991904761904,54464.519665560125,21
user10046@okicici,5926.395882352941,10830.977343449355,17
user10066@paytm,2795.378333333333,6422.408028157673,18
user10074@oksbi,11704.052222222223,18120.26767241119,18
user10076@paytm,679.6069230769231,1111.4560166465176,13
user10077@axl,24108.148,38235.25436442098,10
user10078@paytm,6202.423333333333,11214.652890317204,9
user10079@axl,4163.985333333333,11249.689802256687,15
user10088@axl,32294.946428571428,58160.343843248695,14
user10095@okicici,12871.984375,29199.365378274684,16
user10107@okicici,5603.636363636364,8977.346496115957,11
user10107@paytm,6107.62125,14091.859719427119,8
user10108@paytm,8999.14318181818,22550.17763234385,22
user10110@okhdfcbank,22501.381428571425,45721.22661544667,14
user10111@axl,8561.983333333332,15928.0954427558,15
user10111@oksbi,5307.0623076923075,8510.576824366992,13
user10114@ybl,3639.142,8306.527774393662,10
user10121@oksbi,11719.571875,20166.23288033546,16
user10130@axl,7394.665384615384,12489.81480217422,13
user1015@okhdfcbank,21006.653,40406.38948978492,10
user10168@oksbi,33959.58142857143,56642.9323268095,14
user10171@oksbi,2564.8068749999998,7463.52362042998,16
user10184@ybl,8603.071764705883,12701.840226146975,17
user10190@okicici,12147.151764705883,40233.14418681074,17
user10190@paytm,13722.420869565218,36383.369009744485,23
user10196@axl,5379.385454545454,14198.780250565444,11
user10200@paytm,17339.835000000003,37934.67566336465,6
user10215@axl,4136.264999999999,9916.895997566478,14
user10221@oksbi,6786.015333333334,12486.553066357805,15
user10228@axl,11010.491764705881,32068.393307704122,17
user10230@okicici,3788.094,6434.077278771561,10
user10244@paytm,13164.827000000001,39621.43402980422,20
user10247@oksbi,2879.505,6915.939460531347,14
user10256@ybl,11721.722500000002,18067.520760077197,12
user10265@okhdfcbank,7378.515454545454,12855.817321048371,11
